journal	IF2023	quartile2023
ANAL METHODS	2.7	Q1
ANAL METHODS ACCID RES	12.5	Q1
ANAL SCI	1.8	Q3
ANAL SCI ADV	3	Q2
ANAL SENS	3.4	Q3
ANAL SOC ISSUES PUBLIC POLICY	1.8	Q2
ANAL VERBAL BEHAV	0.7	Q4
ANALOG INTEGR CIRCUITS SIGNAL PROCESS	1.2	Q4
ANALYSIS	1.1	NA
ANALYST	3.6	Q2
ANASTHESIOL INTENSIVMED NOTFALLMED SCHMERZTHER	0.3	Q4
ANAT CELL BIOL	1.4	Q3
ANAT HISTOL EMBRYOL	0.8	Q3
ANAT REC (HOBOKEN)	1.8	Q2
ANAT SCI EDUC	5.2	Q1
ANAT SCI INT	1.2	Q3
ANATOL J CARDIOL	1.4	Q3
ANDES PEDIATR	0.5	Q4
ANDROLOGIA	2.1	Q3
ANDROLOGY	3.2	Q1
ANEMIA	2.2	Q3
ANESTH ANALG	4.6	Q1
ANESTHESIOL RES PRACT	1.6	Q2
ANESTHESIOLOGY	9.1	Q1
ANGELAKI	0.2	NA
ANGEW CHEM INT ED ENGL	16.1	Q1
ANGIOGENESIS	9.2	Q1
ANGIOLOGIA	0.1	Q4
ANGIOLOGY	2.6	Q2
ANGLE ORTHOD	3	Q1
ANGLIA	0.2	NA
ANIM BEHAV	2.3	Q1
ANIM BIOL LEIDEN NETH	1.4	Q2
ANIM BIOSCI	2.4	Q1
ANIM BIOTECHNOL	1.7	Q4
ANIM BIOTELEMETRY	2.4	Q1
ANIM CELLS SYST (SEOUL)	2.5	Q1
ANIM COGN	1.9	Q1
ANIM CONSERV	2.8	Q2
ANIM FEED SCI TECHNOL	2.5	Q1
ANIM FRONT	3.2	Q1
ANIM GENET	1.8	Q3
ANIM HEALTH RES REV	4.3	Q1
ANIM MICROBIOME	4.9	Q1
ANIM NUTR	6.1	Q1
ANIM REPROD	1.6	Q2
ANIM REPROD SCI	2.2	Q1
ANIM SCI J	1.7	Q2
ANIM WELF	1.4	Q2
ANIMAL	4	Q1
ANIMAL MODEL EXP MED	3.8	Q2
ANIMALS (BASEL)	2.7	Q1
ANN ACAD MED SINGAP	2.5	Q1
ANN AFR MED	0.6	Q3
ANN AGRIC ENVIRON MED	1.3	Q4
ANN ALLERGY ASTHMA IMMUNOL	5.8	Q1
ANN AM ACAD POL SOC SCI	2.5	Q1
ANN AM ASSOC GEOGR	3.2	Q1
ANN AM THORAC SOC	6.8	Q1
ANN ANAT	2	Q2
ANN ANTHROPOL PRACT	0.7	Q3
ANN APPL BIOL	2.2	Q2
ANN APPL PROBAB	1.4	Q2
ANN APPL SPORT SCI	0.8	Q4
ANN APPL STAT	1.3	Q2
ANN BEHAV MED	3.6	Q1
ANN BIOL CLIN (PARIS)	0.4	Q4
ANN BIOMED ENG	3	Q3
ANN BOT	3.6	Q1
ANN CARD ANAESTH	1.1	Q3
ANN CARDIOTHORAC SURG	3.3	Q1
ANN CHIR PLAST ESTHET	0.4	Q4
ANN CLIN BIOCHEM	2.1	Q3
ANN CLIN LAB SCI	1.1	Q4
ANN CLIN MICROBIOL ANTIMICROB	4.6	Q1
ANN CLIN PSYCHIATRY	1.5	Q3
ANN CLIN TRANSL NEUROL	4.4	Q1
ANN COLOPROCTOL	3	Q1
ANN COMB	0.6	Q4
ANN DERMATOL	1.5	Q3
ANN DERMATOL VENEREOL	3.1	Q2
ANN DIAGN PATHOL	1.5	Q3
ANN DYSLEXIA	2.1	Q1
ANN EMERG MED	5	Q1
ANN ENDOCRINOL (PARIS)	2.9	Q3
ANN ENTOMOL SOC AM	3	Q1
ANN EPIDEMIOL	3.3	Q1
ANN FAM MED	4.4	Q1
ANN FOR SCI	2.5	Q1
ANN GASTROENTEROL	2.1	Q3
ANN GASTROENTEROL SURG	2.9	Q2
ANN GEN PSYCHIATRY	3.6	Q1
ANN GEOPHYS	1.7	Q4
ANN GERIATR MED RES	2.8	Q3
ANN GIS	2.7	Q2
ANN GLACIOL	2.5	Q2
ANN GLOB ANAL GEOM (DORDR)	0.6	Q3
ANN GLOB HEALTH	2.6	Q2
ANN HEMATOL	3	Q2
ANN HENRI POINCARE	1.4	Q3
ANN HEPATOBILIARY PANCREAT SURG	1.1	Q3
ANN HEPATOL	3.7	Q2
ANN HIST REVOLUT FR	0.2	Q2
ANN HUM BIOL	1.2	Q4
ANN HUM GENET	1	Q4
ANN I H P PROBAB STAT	1.2	Q2
ANN IG	1.5	Q3
ANN INDIAN ACAD NEUROL	1.9	Q3
ANN INST STAT MATH	0.8	Q3
ANN INTENSIVE CARE	5.7	Q1
ANN INTERN MED	19.6	Q1
ANN IST SUPER SANITA	1.1	Q4
ANN ITAL CHIR	0.9	Q3
ANN JT	0.5	Q4
ANN KING EDW MED UNIV	0.1	Q4
ANN LAB MED	4	Q1
ANN LAPAROSC ENDOSC SURG	0.5	Q4
ANN LIMNOL	0.9	Q4
ANN MAT PURA APPL	1	Q3
ANN MATH	5.7	Q1
ANN MATH ARTIF INTELL	1.2	Q2
ANN MATH QUEBEC	0.5	Q3
ANN MED	4.9	Q1
ANN MED PSYCHOL (PARIS)	0.5	Q4
ANN MED SURG (LOND)	1.7	Q2
ANN MICROBIOL	3	Q2
ANN MO BOT GARD	1.1	Q3
ANN N Y ACAD SCI	4.1	Q1
ANN NEUROL	8.1	Q1
ANN NEUROSCI	1.8	Q4
ANN NONINVASIVE ELECTROCARDIOL	1.1	Q4
ANN NUCL ENERGY	1.9	Q1
ANN NUCL MED	2.5	Q2
ANN NUTR METAB	3.2	Q2
ANN OCCUP ENVIRON MED	1.2	Q4
ANN ONCOL	56.7	Q1
ANN OPER RES	4.4	Q1
ANN OTOL RHINOL LARYNGOL	1.3	Q3
ANN PATHOL	0.5	Q4
ANN PDE	2.4	Q1
ANN PEDIATR CARDIOL	0.9	Q4
ANN PEDIATR ENDOCRINOL METAB	2.8	Q1
ANN PEDIATR SURG	0.4	Q4
ANN PHARM FR	1	Q4
ANN PHARMACOTHER	2.3	Q3
ANN PHYS	2.2	Q2
ANN PHYS (N Y)	3	Q2
ANN PHYS REHABIL MED	3.9	Q1
ANN PLAST SURG	1.4	Q3
ANN PROBAB	2.1	Q1
ANN R COLL SURG ENGL	1.1	Q3
ANN REG SCI	2.2	Q3
ANN REHABIL MED	2.1	Q1
ANN REV MAR SCI	14.3	Q1
ANN RHEUM DIS	20.3	Q1
ANN SAUDI MED	1.5	Q2
ANN SCI	0.9	Q2
ANN STAT	3.2	Q1
ANN SURG	7.5	Q1
ANN SURG ONCOL	3.4	Q1
ANN SURG TREAT RES	1.2	Q3
ANN TELECOMMUN	1.8	Q3
ANN THORAC CARDIOVASC SURG	1.1	Q3
ANN THORAC MED	2.1	Q3
ANN THORAC SURG	3.6	Q1
ANN TOUR RES	10.4	Q1
ANN TRANSPLANT	1.1	Q3
ANN VASC DIS	0.6	Q4
ANN VASC SURG	1.4	Q3
ANN WORK EXPO HEALTH	1.8	Q3
ANN ZOOL FENNICI	0.9	Q3
ANNEE PSYCHOL	0.5	Q4
ANNU REV ANAL CHEM (PALO ALTO CALIF)	5.9	Q1
ANNU REV ANIM BIOSCI	8.7	Q1
ANNU REV APPL LINGUIST	2.8	Q1
ANNU REV ASTRON ASTROPHYS	26.3	Q1
ANNU REV BIOCHEM	12.1	Q1
ANNU REV BIOMED DATA SCI	7	Q1
ANNU REV BIOMED ENG	12.8	Q1
ANNU REV BIOPHYS	10.4	Q1
ANNU REV CANCER BIOL	4.7	Q1
ANNU REV CELL DEV BIOL	11.4	Q1
ANNU REV CHEM BIOMOL ENG	7.6	Q1
ANNU REV CLIN PSYCHOL	17.8	Q1
ANNU REV CONDENS MATTER PHYS	14.3	Q1
ANNU REV CONTROL	7.3	Q1
ANNU REV CONTROL ROBOT AUTON SYST	11.2	Q1
ANNU REV CRIMINOL	6.3	Q1
ANNU REV EARTH PLANET SCI	11.3	Q1
ANNU REV ECOL EVOL SYST	11.2	Q1
ANNU REV ECONOM	6.8	Q1
ANNU REV ENTOMOL	15	Q1
ANNU REV ENVIRON RESOUR	15.5	Q1
ANNU REV FLUID MECH	25.4	Q1
ANNU REV FOOD SCI TECHNOL	10.6	Q1
ANNU REV GENET	8.7	Q1
ANNU REV GENOMICS HUM GENET	7.7	Q1
ANNU REV IMMUNOL	26.9	Q1
ANNU REV LAW SOC SCI	2.4	Q1
ANNU REV LINGUIST	3	Q1
ANNU REV MATER RES	10.6	Q1
ANNU REV MED	15.1	Q1
ANNU REV MICROBIOL	8.5	Q1
ANNU REV NEUROSCI	12.1	Q1
ANNU REV NUTR	12.6	Q1
ANNU REV PATHOL	28.4	Q1
ANNU REV PHARMACOL TOXICOL	11.2	Q1
ANNU REV PHYS CHEM	11.7	Q1
ANNU REV PHYSIOL	15.7	Q1
ANNU REV PHYTOPATHOL	9.1	Q1
ANNU REV PLANT BIOL	21.3	Q1
ANNU REV POLIT SCI (PALO ALTO)	9.7	Q1
ANNU REV PSYCHOL	23.6	Q1
ANNU REV PUBLIC HEALTH	21.4	Q1
ANNU REV RESOUR ECONOMICS	4.2	Q1
ANNU REV SOCIOL	8.9	Q1
ANNU REV STAT APPL	7.4	Q1
ANNU REV VIROL	8.1	Q1
ANNU REV VIS SCI	5	Q1
ANQ	0.1	NA
ANS ADV NURS SCI	1.6	Q2
ANTARCT SCI	1.8	Q3
ANTHROPOCENE REV	2.5	Q2
ANTHROPOL ACTION	1.1	Q2
ANTHROPOL ANZ	0.4	Q3
ANTHROPOL CONSCIOUS	1.2	Q2
ANTHROPOL EDUC Q	1.4	Q2
ANTHROPOL FORUM	0.9	Q3
ANTHROPOL MED	1.5	Q3
ANTHROPOL THEORY	1.1	Q2
ANTHROPOL TODAY	1.5	Q2
ANTHROPOL WORK REV	0.6	Q3
ANTHROPOLOGIE	0.6	Q3
ANTHROZOOS	1.7	Q2
ANTIBIOTICS (BASEL)	4.3	Q1
ANTIBODIES (BASEL)	3	Q3
ANTICANCER AGENTS MED CHEM	2.6	Q3
ANTICANCER DRUGS	1.8	Q3
ANTICANCER RES	1.6	Q4
ANTICHTHON	0.2	NA
ANTIMICROB AGENTS CHEMOTHER	4.1	Q1
ANTIMICROB RESIST INFECT CONTROL	4.8	Q1
ANTIOXID REDOX SIGNAL	5.9	Q1
ANTIOXIDANTS (BASEL)	6	Q1
ANTIPODE	3.6	Q1
ANTIQUITY	1.9	NA
ANTIVIR THER	1.3	Q4
ANTIVIRAL RES	4.5	Q1
ANTONIE VAN LEEUWENHOEK	1.8	Q4
ANU ESTUD AM	0.5	Q1
ANU ESTUD MEDIEV	0.3	NA
ANU IEHS	0.1	Q3
ANXIETY STRESS COPING	2.3	Q2
ANZ J SURG	1.5	Q3
ANZIAM J	1	Q3
AOB PLANTS	2.6	Q2
AORN J	0.8	Q4
APEIRON	0.4	NA
APHASIOLOGY	1.5	Q3
APIDOLOGIE	2.4	Q1
APL BIOENG	6.6	Q1
APL MATER	5.3	Q1
APL PHOTONICS	5.4	Q1
APMIS	2.2	Q3
APOPTOSIS	6.1	Q1
APPETITE	4.6	Q1
APPL ACOUST	3.4	Q1
APPL ANAL	1.1	Q2
APPL ANIM BEHAV SCI	2.2	Q1
APPL APPL MATH	0.6	Q4
APPL ARTIF INTELL	2.9	Q2
APPL BIOCHEM BIOTECHNOL	3.1	Q2
APPL BIOCHEM MICROBIOL	1	Q4
APPL BIOL CHEM	2.3	Q3
APPL BIONICS BIOMECH	1.8	Q3
APPL BIOSAF	0.5	Q4
APPL CATAL B	20.2	Q1
APPL CATEG STRUCT	0.6	Q3
APPL CLAY SCI	5.3	Q1
APPL CLIN GENET	2.6	Q2
APPL CLIN INFORM	2.1	Q4
APPL COGN PSYCHOL	2.1	Q2
APPL COMPOS MATER (DORDR)	2.3	Q3
APPL COMPUT ELECTROMAGN SOC J	0.6	Q4
APPL COMPUT HARMON ANAL	2.6	Q1
APPL DEV SCI	1.7	Q3
APPL ECON	1.8	Q2
APPL ECON LETT	1.2	Q3
APPL ECON PERSPECT POLICY	3.3	Q1
APPL ENERGY	10.1	Q1
APPL ENG AGRIC	0.8	Q4
APPL ENG SCI	2.2	Q2
APPL ENTOMOL ZOOL	1.3	Q2
APPL ENVIRON MICROBIOL	3.9	Q2
APPL ENVIRON SOIL SCI	2.1	Q3
APPL ERGON	3.1	Q2
APPL FOOD RES	4.5	Q1
APPL GEOGR	4	Q1
APPL HEALTH ECON HEALTH POLICY	3.1	Q1
APPL IMMUNOHISTOCHEM MOL MORPHOL	1.3	Q3
APPL INTELL (DORDR)	3.4	Q2
APPL LINGUIST	3.6	Q1
APPL LINGUIST REV	2.1	Q1
APPL MAGN RESON	1.1	Q3
APPL MATER TODAY	7.2	Q1
APPL MATH	1.2	Q2
APPL MATH (PRAGUE)	0.6	Q4
APPL MATH COMPUT	3.5	Q1
APPL MATH LETT	2.9	Q1
APPL MATH MECH	4.5	Q1
APPL MATH OPTIM	1.6	Q2
APPL MEAS EDUC	1.1	Q4
APPL MECH REV	12.2	Q1
APPL MICROBIOL BIOTECHNOL	3.9	Q2
APPL NETW SCI	1.3	Q2
APPL NEUROPSYCHOL ADULT	1.4	Q3
APPL NEUROPSYCHOL CHILD	1.4	Q3
APPL NUMER MATH	2.2	Q1
APPL NURS RES	2.7	Q1
APPL ONTOL	2.5	Q2
APPL OPT	1.7	Q3
APPL ORGANOMET CHEM	3.7	Q2
APPL PHYS A MATER SCI PROCESS	2.5	Q2
APPL PHYS EXPRESS	2.3	Q3
APPL PHYS LETT	3.5	Q2
APPL PHYS REV	11.9	Q1
APPL PHYSIOL NUTR METAB	2.4	Q2
APPL PLANT SCI	2.7	Q2
APPL PSYCHOL	4.9	Q1
APPL PSYCHOL HEALTH WELL BEING	3.8	Q1
APPL PSYCHOL MEAS	1	Q3
APPL PSYCHOLINGUIST	2.4	Q2
APPL PSYCHOPHYSIOL BIOFEEDBACK	2.2	Q2
APPL RADIAT ISOT	1.6	Q3
APPL RADIOL	0.4	Q4
APPL RES QUAL LIFE	2.8	Q1
APPL RHEOL	5.8	Q1
APPL SCI (BASEL)	2.5	Q2
APPL SOFT COMPUT	7.2	Q1
APPL SOIL ECOL	4.8	Q1
APPL SPAT ANAL POLICY	2	Q3
APPL SPECTROSC	2.2	Q2
APPL SPECTROSC REV	5.4	Q1
APPL STOCH MODELS BUS IND	1.3	Q2
APPL SURF SCI	6.3	Q1
APPL SYST INNOV	3.8	Q2
APPL THERM ENG	6.1	Q1
APPL VEG SCI	2	Q2
APPL WATER SCI	5.7	Q1
AQUA (LOND)	2.1	Q3
AQUAC ENG	3.6	Q1
AQUAC ENVIRON INTERACT	2.2	Q1
AQUAC INT	2.2	Q2
AQUAC NUTR	3	Q1
AQUAC REP	3.2	Q1
AQUAC RES	1.9	Q2
AQUACULTURE	3.9	Q1
AQUAT BOT	1.9	Q2
AQUAT CONSERV	2.5	Q2
AQUAT ECOL	1.7	Q2
AQUAT ECOSYST HEALTH MANAG	0.8	Q4
AQUAT GEOCHEM	1.7	Q3
AQUAT INSECTS	0.5	Q4
AQUAT INVASIONS	2.2	Q1
AQUAT MAMM	0.8	Q3
AQUAT MICROB ECOL	1.6	Q4
AQUAT SCI	2	Q2
AQUAT TOXICOL	4.1	Q1
ARAB J CHEM	5.3	Q2
ARAB J GASTROENTEROL	1.1	Q4
ARAB J MATH	0.9	Q2
ARAB J SCI ENG	2.6	Q2
ARAB J UROL	1.3	Q3
ARAB SCI PHILOS	0.3	NA
ARAB STUD Q	0.3	Q3
ARABICA	0.2	NA
ARBOR	0.5	NA
ARCH ACAD EMERG MED	2.9	Q1
ARCH ANIM BREED	1.6	Q2
ARCH ANIM NUTR	2	Q1
ARCH APPL MECH	2.2	Q2
ARCH ARGENT PEDIATR	0.7	Q4
ARCH BIOCHEM BIOPHYS	3.8	Q1
ARCH BONE JT SURG	1.2	Q3
ARCH BRONCONEUMOL	8.7	Q1
ARCH CARDIOL MEX	0.7	Q4
ARCH CARDIOVASC DIS	2.3	Q2
ARCH CLIN CASES	0.8	Q3
ARCH CLIN INFECT DIS	0.5	Q4
ARCH CLIN NEUROPSYCHOL	2.1	Q2
ARCH COMPUT METHODS ENG	9.7	Q1
ARCH DERMATOL RES	1.8	Q3
ARCH DIS CHILD	4.3	Q1
ARCH DIS CHILD EDUC PRACT ED	1.1	Q3
ARCH DIS CHILD FETAL NEONATAL ED	3.9	Q1
ARCH ENDOCRINOL METAB	1.6	Q4
ARCH ENVIRON CONTAM TOXICOL	3.7	Q2
ARCH ENVIRON OCCUP HEALTH	1.4	Q3
ARCH ESP UROL	0.6	Q4
ARCH EUR SOCIOL	1.2	Q3
ARCH GERONTOL GERIATR	3.5	Q2
ARCH GYNECOL OBSTET	2.1	Q2
ARCH HIST EXACT SCI	0.7	Q4
ARCH IMMUNOL THER EXP (WARSZ)	2.9	Q3
ARCH INSECT BIOCHEM PHYSIOL	1.5	Q4
ARCH IRAN MED	1	Q3
ARCH ITAL BIOL	0.8	Q4
ARCH ITAL UROL ANDROL	1.4	Q3
ARCH LATINOAM NUTR	0.5	Q4
ARCH LEBENSMITTELHYG	0.2	Q4
ARCH MATH	0.5	Q3
ARCH MATH LOG	0.4	Q4
ARCH MED RES	4.7	Q1
ARCH MED SCI	3	Q1
ARCH MICROBIOL	2.3	Q3
ARCH NAT HIST	0.3	Q3
ARCH NEUROSCI	0.4	Q4
ARCH ORAL BIOL	2.2	Q2
ARCH ORIENT	0.1	NA
ARCH ORTHOP TRAUMA SURG	2	Q2
ARCH OSTEOPOROS	3.1	Q1
ARCH PAPYRUSFORSCH	0.1	NA
ARCH PATHOL LAB MED	3.7	Q1
ARCH PEDIATR	1.3	Q3
ARCH PHARM (WEINHEIM)	4.3	Q1
ARCH PHARM RES	6.9	Q1
ARCH PHYS MED REHABIL	3.6	Q1
ARCH PHYSIOL BIOCHEM	2.5	Q2
ARCH PHYSIOTHER	2.1	Q1
ARCH PLAST SURG	1.3	Q3
ARCH PSYCHIATR NURS	2.2	Q3
ARCH PSYCHOL RELIG	0.8	NA
ARCH PUBLIC HEALTH	3.2	Q2
ARCH RATION MECH ANAL	2.6	Q2
ARCH REC (ABINGDON)	0.8	NA
ARCH REHABIL RES CLIN TRANSL	1.9	Q2
ARCH RHEUMATOL	1.1	Q4
ARCH SCI (DORDR)	1.4	Q2
ARCH SEX BEHAV	2.9	Q1
ARCH STOR ITAL	0.2	Q2
ARCH SUICIDE RES	2.5	Q2
ARCH TOXICOL	4.8	Q1
ARCH TRAUMA RES	0.3	Q4
ARCH VIROL	2.5	Q3
ARCH WOMENS MENT HEALTH	3.2	Q2
ARCHAEA	2.3	Q3
ARCHAEOL ANTHROPOL SCI	2.1	Q3
ARCHAEOL J (LOND)	0.9	NA
ARCHAEOL PROSPECT	2.1	Q3
ARCHAEOLOGY	0.3	NA
ARCHAEOMETRY	1.5	Q3
ARCHIT SCI REV	1.8	NA
ARCHNET-IJAR	1.8	NA
ARCT ANTARCT ALP RES	1.6	Q3
AREA (OXF)	1.6	Q2
ARETHUSA	0.2	NA
ARGUMENTATION	1	NA
ARH HIG RADA TOKSIKOL	1.7	Q4
ARKIVOC	0.8	Q4
ARMED FORCES SOC	1.2	Q3
ARP RHEUMATOL	1.4	Q3
ARQ BRAS CARDIOL	2	Q3
ARQ BRAS CIR DIG	1.9	Q3
ARQ BRAS OFTALMOL	1.1	Q3
ARQ BRAS PSICOL	0.1	Q4
ARQ NEUROPSIQUIATR	1	Q4
ARRAY (N Y)	2.3	Q2
ARRHYTHM ELECTROPHYSIOL REV	2.6	Q2
ART BULL	0.4	NA
ART HIST	0.3	NA
ART THER (ALEX)	1.3	Q3
ARTERIOSCLER THROMB VASC BIOL	7.4	Q1
ARTERY RES	0.9	Q4
ARTHRITIS CARE RES (HOBOKEN)	3.7	Q1
ARTHRITIS RES THER	4.4	Q1
ARTHRITIS RHEUMATOL	11.4	Q1
ARTHROPLAST TODAY	1.5	Q3
ARTHROPLASTY	2.3	Q2
ARTHROPOD PLANT INTERACT	1.2	Q3
ARTHROPOD STRUCT DEV	1.7	Q2
ARTHROPOD SYST PHYLOGENY	1.5	Q2
ARTHROSC TECH	1.2	Q3
ARTHROSCOPY	4.4	Q1
ARTIF CELLS NANOMED BIOTECHNOL	4.5	Q2
ARTIF INTELL	5.1	Q1
ARTIF INTELL ENG DES ANAL MANUF	1.7	Q2
ARTIF INTELL LAW (DORDR)	3.1	Q1
ARTIF INTELL MED	6.1	Q1
ARTIF INTELL REV	10.7	Q1
ARTIF LIFE	1.6	Q2
ARTIF LIFE ROBOT	0.8	Q4
ARTIF ORGANS	2.2	Q3
ARTS HEALTH	1.8	Q3
ARTS PSYCHOTHER	1.5	Q3
ARYA ATHEROSCLER	0.5	Q4
ASAIO J	3.1	Q2
ASCE ASME J RISK UNCERTAIN ENG SYST A CIV ENG	2.3	Q2
ASCE ASME J RISK UNCERTAIN ENG SYST PART B MECH ENG	1.8	Q2
ASCLEPIO	0.2	Q4
ASIA EUR J	1.6	Q2
ASIA PAC ALLERGY	1.6	Q3
ASIA PAC ECON LIT	1.1	Q3
ASIA PAC J ATMOS SCI	2.2	Q3
ASIA PAC J CHEM ENG	1.4	Q3
ASIA PAC J CLIN NUTR	1.3	Q4
ASIA PAC J CLIN ONCOL	1.4	Q4
ASIA PAC J COUNS PSYCHOTHER	0.2	Q4
ASIA PAC J ONCOL NURS	2.4	Q1
ASIA PAC J OPHTHALMOL (PHILA)	3.7	Q1
ASIA PAC J PUBLIC HEALTH	1.4	Q3
ASIA PAC J SOC WORK	1	Q3
ASIA PAC J SOC WORK DEV	1	Q3
ASIA PAC J SPORTS MED ARTHROSC REHABIL TECHNOL	1.5	Q3
ASIA PAC POLICY STUD	1.4	Q1
ASIA PAC PSYCHIATRY	2.8	Q2
ASIA PAC VIEWP	1.8	Q2
ASIAN AFF (LOND)	1	Q2
ASIAN AM J PSYCHOL	2.4	Q2
ASIAN BIOETH REV	1.3	Q3
ASIAN BIOMED (RES REV NEWS)	0.4	Q4
ASIAN DEV REV	1	Q3
ASIAN GEOGR	1.8	Q2
ASIAN HERPETOL RES	1.2	Q2
ASIAN J ANDROL	3	Q1
ASIAN J COMMUN	1.5	Q2
ASIAN J CONTROL	2.7	Q2
ASIAN J CRIMINOL	1.8	Q2
ASIAN J ENDOSC SURG	0.9	Q4
ASIAN J ORG CHEM	2.8	Q1
ASIAN J PHARM SCI	10.7	Q1
ASIAN J PSYCHIATR	3.8	Q1
ASIAN J SOC PSYCHOL	2.1	Q3
ASIAN J SOC SCI	1	Q2
ASIAN J SURG	3.5	Q1
ASIAN J TRANSFUS SCI	0.6	Q4
ASIAN J UROL	2.4	Q2
ASIAN J WOMEN STUD	0.9	Q3
ASIAN NURS RES (KOREAN SOC NURS SCI)	2.1	Q2
ASIAN PAC J ALLERGY IMMUNOL	2.3	Q3
ASIAN PAC J TROP BIOMED	1.7	Q3
ASIAN PAC J TROP MED	1.9	Q2
ASIAN PAC MIGR J	1.4	Q3
ASIAN PERSPECT	1.3	Q2
ASIAN POPUL STUD	1.5	Q2
ASIAN SOC WORK POLICY REV	1.3	Q2
ASIAN SPINE J	2.3	Q2
ASIAN SURV	1.3	Q1
ASLIB J INF MANAG	2.4	Q2
ASN NEURO	3.9	Q2
ASSAY DRUG DEV TECHNOL	1.6	Q3
ASSESS EDUC	2.7	Q1
ASSESS EFF INTERV	1.2	Q2
ASSESS EVAL HIGH EDUC	4.1	Q1
ASSESS WRIT	4.2	Q1
ASSESSMENT	3.5	Q1
ASSIST INFERM RIC	0.8	Q4
ASSIST TECHNOL	2.5	Q1
ASTROBIOLOGY	3.5	Q1
ASTRON ASTROPHYS	5.4	Q1
ASTRON ASTROPHYS REV	27.8	Q1
ASTRON J	5.1	Q1
ASTROPHYS J	4.8	Q1
ASTROPHYS J LETT	8.8	Q1
AT DATA NUCL DATA TABLES	2.7	Q2
AT SPECTROSC	3.4	Q1
ATEN PRIMARIA	1.8	Q3
ATHEROSCLER PLUS	1.4	Q3
ATHEROSCLEROSIS	4.9	Q1
ATL ECON J	0.5	Q4
ATL J COMMUN	0.7	Q3
ATL STUD (ABINGDON)	0.3	Q2
ATLANTIS (WOLFV)	0.7	Q3
ATMOS CHEM PHYS	5.2	Q1
ATMOS ENVIRON (1994)	4.2	Q1
ATMOS ENVIRON X	3.8	Q2
ATMOS MEAS TECH	3.2	Q2
ATMOS POLLUT RES	3.9	Q2
ATMOS RES	4.5	Q1
ATMOS SCI LETT	2	Q3
ATMOSPHERE (BASEL)	2.5	Q3
ATOMS	1.7	Q3
ATS SCH	1.7	Q3
ATTACH HUM DEV	3.3	Q1
ATTEN PERCEPT PSYCHOPHYS	1.7	Q3
AUDIOL NEUROOTOL	1.6	Q2
AUDIOL RES	2.1	Q1
AUGMENT ALTERN COMMUN	2.1	Q1
AUK	2	Q1
AURIS NASUS LARYNX	1.6	Q2
AUST CRIT CARE	2.6	Q1
AUST DENT J	1.9	Q2
AUST ECON HIST REV	0.5	Q3
AUST ECON PAP	1.2	Q3
AUST ECON REV	1	Q3
AUST EDUC RES	2	Q2
AUST ENDOD J	1.3	Q3
AUST ENTOMOL	1.1	Q3
AUST FEM STUD	1.3	Q2
AUST GEOGR	1.8	Q2
AUST HEALTH REV	1.4	Q4
AUST HIST STUD	0.6	Q1
AUST INTELLECT PROP J	0.2	Q4
AUST J ADV NURS	1.2	Q3
AUST J AGRIC RESOUR ECON	2.6	Q1
AUST J ANTHROPOL	0.5	Q3
AUST J CHEM	1	Q4
AUST J EDUC	1.5	Q2
AUST J FORENSIC SCI	0.8	Q4
AUST J FR STUD	0.1	NA
AUST J GEN PRACT	1.6	Q3
AUST J GRAPE WINE RES	2.5	Q1
AUST J LEARN DIFFIC	0.9	Q3
AUST J POLIT HIST	0.6	Q3
AUST J POLIT SCI	1.2	Q3
AUST J PRIM HEALTH	1.2	Q4
AUST J PSYCHOL	3.6	Q1
AUST J RURAL HEALTH	1.9	Q3
AUST J SOC ISSUES	2	Q2
AUST J ZOOL	1	Q3
AUST LAW J	0.3	Q3
AUST N Z J ART	0.1	NA
AUST N Z J FAM THER	0.7	Q4
AUST N Z J OBSTET GYNAECOL	1.4	Q3
AUST N Z J PSYCHIATRY	4	Q1
AUST N Z J PUBLIC HEALTH	2.6	Q2
AUST N Z J STAT	0.8	Q3
AUST OCCUP THER J	1.6	Q2
AUST PRESCR	3.4	Q2
AUST PSYCHOL	2	Q2
AUST SOC WORK	1.6	Q2
AUST SYST BOT	1.5	Q3
AUST VET J	1.3	Q2
AUSTRAL ECOL	1.6	Q3
AUSTRALAS CATHOL REC	0.1	NA
AUSTRALAS EMERG CARE	2.1	Q2
AUSTRALAS J AGEING	1.4	Q3
AUSTRALAS J DERMATOL	2.2	Q2
AUSTRALAS J PHILOS	1	NA
AUSTRALAS PLANT PATHOL	0.9	Q4
AUSTRALAS PSYCHIATRY	1.2	Q4
AUSTRIAN HIST YEARB	0.3	Q2
AUSTRIAN J EARTH SCI	0.6	Q4
AUTISM	5.2	Q1
AUTISM ADULTHOOD	9.5	Q1
AUTISM DEV LANG IMPAIR	2.5	Q2
AUTISM RES	5.3	Q1
AUTOIMMUN REV	9.2	Q1
AUTOIMMUNE DIS	1.7	Q4
AUTOIMMUNITY	3.3	Q3
AUTOM CONSTR	9.6	Q1
AUTOM SOFTW ENG	2	Q3
AUTOMATICA (OXF)	4.8	Q1
AUTOMOT INNOV	4.8	Q1
AUTON AGENT MULTI AGENT SYST	2	Q3
AUTON NEUROSCI	3.2	Q2
AUTOPHAGY	14.6	Q1
AVIAN BIOL RES	0.5	Q4
AVIAN DIS	1.3	Q2
AVIAN PATHOL	2.5	Q1
AVIAN RES	1.6	Q1
