abb	pubmed_journal	pubmed_issn	pubmed_eissn	Publisher	journal_if	IF_2020	IF_2021	IF_2022	IF_2023	IF_2024	q_2020	q_2021	q_2022	q_2023	q_2024
ANAL BIOCHEM	Analytical biochemistry	0003-2697	1096-0309	ACADEMIC PRESS INC ELSEVIER SCIENCE	ANALYTICAL BIOCHEMISTRY	3.365	3.191	2.9	2.6	2.5	Q2	Q3	Q2	Q2	Q3
ANAL CHEM	Analytical chemistry	0003-2700	1520-6882	AMER CHEMICAL SOC	ANALYTICAL CHEMISTRY	6.986	8.008	7.4	6.7	6.7	Q1	Q1	Q1	Q1	Q1
ANAL CHIM ACTA	Analytica chimica acta	0003-2670	1873-4324	ELSEVIER	ANALYTICA CHIMICA ACTA	6.558	6.911	6.2	5.7	6.0	Q1	Q1	Q1	Q1	Q1
ANALYST	The Analyst	0003-2654	1364-5528	ROYAL SOC CHEMISTRY	ANALYST	4.616	5.227	4.2	3.6	3.3	Q1	Q1	Q2	Q2	Q2
ANAT HISTOL EMBRYOL	Anatomia, histologia, embryologia	0340-2096	1439-0264	WILEY	ANATOMIA HISTOLOGIA EMBRYOLOGIA	1.114	1.13	0.9	0.8	1.0	Q3	Q3	Q3	Q3	Q3
ANDROLOGIA	Andrologia	0303-4569	1439-0272	WILEY	ANDROLOGIA	2.775	2.532	2.4	2.1	2.0	Q3	Q3	Q2	Q3	Q3
ANESTH ANALG	Anesthesia and analgesia	0003-2999	1526-7598	LIPPINCOTT WILLIAMS & WILKINS	ANESTHESIA AND ANALGESIA	5.178	6.627	5.7	4.6	3.8	Q1	Q1	Q1	Q1	Q1
ANESTHESIOLOGY	Anesthesiology	0003-3022	1528-1175	LIPPINCOTT WILLIAMS & WILKINS	ANESTHESIOLOGY	7.892	9.198	8.8	9.1	9.1	Q1	Q1	Q1	Q1	Q1
AM J INFECT CONTROL	American journal of infection control	0196-6553	1527-3296	MOSBY-ELSEVIER	AMERICAN JOURNAL OF INFECTION CONTROL	2.918	4.303	4.9	3.8	2.4	Q2	Q2	Q1	Q1	Q2
ANGEW CHEM INT ED ENGL	Angewandte Chemie (International ed. in English)	1433-7851	1521-3773	WILEY-V C H VERLAG GMBH	ANGEWANDTE CHEMIE-INTERNATIONAL EDITION	15.336	16.823	16.6	16.1	16.9	Q1	Q1	Q1	Q1	Q1
ANGIOLOGIA	Angiologia	0003-3170	1695-2987	ARAN EDICIONES, S A	ANGIOLOGIA			0.1	0.1	0.2				Q4	Q4
ANGIOLOGY	Angiology	0003-3197	1940-1574	SAGE PUBLICATIONS INC	ANGIOLOGY	3.619	3.299	2.8	2.6	2.2	Q2	Q3	Q3	Q2	Q3
ANGLE ORTHOD	The Angle orthodontist	0003-3219	1945-7103	E H ANGLE EDUCATION RESEARCH FOUNDATION, INC	ANGLE ORTHODONTIST	2.079	2.684	3.4	3.0	3.2	Q3	Q3	Q2	Q1	Q1
ANIM BEHAV	Animal behaviour	0003-3472		ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD	ANIMAL BEHAVIOUR	2.844	3.041	2.5	2.3	2.1	Q1	Q1	Q1	Q1	Q1
ANIM GENET	Animal genetics	0268-9146	1365-2052	WILEY	ANIMAL GENETICS	3.169	2.884	2.4	1.8	2.1	Q1	Q1	Q2	Q2	Q2
ANN APPL BIOL	The Annals of applied biology	0003-4746	1744-7348	WILEY	ANNALS OF APPLIED BIOLOGY	2.75	2.766	2.6	2.2	1.8	Q2	Q2	Q2	Q2	Q2
ANN EMERG MED	Annals of emergency medicine	0196-0644	1097-6760	MOSBY-ELSEVIER	ANNALS OF EMERGENCY MEDICINE	5.721	6.762	6.2	5.0	5.0	Q1	Q1	Q1	Q1	Q1
ANN BIOL CLIN (PARIS)	Annales de biologie clinique	0003-3898	1950-6112	JLE	ANNALES DE BIOLOGIE CLINIQUE	0.459	0.516	0.5	0.4	0.4	Q4	Q4	Q4	Q4	Q4
ANN BIOMED ENG	Annals of biomedical engineering	0090-6964	1573-9686	SPRINGER	ANNALS OF BIOMEDICAL ENGINEERING	3.934	4.219	3.8	3.0	5.4	Q2	Q2	Q2	Q3	Q1
ANN CHIR PLAST ESTHET	Annales de chirurgie plastique et esthetique	0294-1260	1768-319X	ELSEVIER	ANNALES DE CHIRURGIE PLASTIQUE ESTHETIQUE	0.66	0.75	0.4	0.4	0.5	Q4	Q4	Q4	Q4	Q4
ANN AM ACAD POL SOC SCI	The Annals of the American Academy of Political and Social Science	0002-7162		SAGE PUBLICATIONS INC	ANNALS OF THE AMERICAN ACADEMY OF POLITICAL AND SOCIAL SCIENCE	2.15	2.742	2.8	2.5	2.6	Q2	Q2	Q2	Q1	Q1
ANN CLIN BIOCHEM	Annals of clinical biochemistry	0004-5632	1758-1001	SAGE PUBLICATIONS INC	ANNALS OF CLINICAL BIOCHEMISTRY	2.057	2.587	2.2	2.1	1.0	Q3	Q3	Q3	Q3	Q4
ANN CLIN LAB SCI	Annals of clinical and laboratory science	0091-7370	1550-8080	ASSOC CLINICAL SCIENTISTS	ANNALS OF CLINICAL AND LABORATORY SCIENCE	1.256	1.18	0.8	1.1	1.0	Q4	Q4	Q4	Q4	Q4
ANN ACAD MED SINGAP	Annals of the Academy of Medicine, Singapore	0304-4602			ANNALS ACADEMY OF MEDICINE SINGAPORE	2.473	8.713	5.2	2.5	2.0	Q2	Q1	Q1	Q1	Q2
ANN ENDOCRINOL (PARIS)	Annales d'endocrinologie	0003-4266	2213-3941	MASSON EDITEUR	ANNALES D ENDOCRINOLOGIE	2.478	3.117	3.1	2.9	2.9	Q4	Q3	Q3	Q3	Q3
ANN ENTOMOL SOC AM	Annals of the Entomological Society of America	0013-8746	1938-2901	OXFORD UNIV PRESS INC	ANNALS OF THE ENTOMOLOGICAL SOCIETY OF AMERICA	2.099	2.736	2.3	3.0	1.8	Q2	Q1	Q1	Q1	Q2
ANN HUM BIOL	Annals of human biology	0301-4460	1464-5033	TAYLOR & FRANCIS LTD	ANNALS OF HUMAN BIOLOGY	1.533	1.868	1.7	1.2	1.3	Q2	Q2	Q2	Q2	Q2
ANN HUM GENET	Annals of human genetics	0003-4800	1469-1809	WILEY	ANNALS OF HUMAN GENETICS	1.67	2.18	1.9	1.0	1.2	Q4	Q4	Q4	Q4	Q4
ANN NUTR METAB	Annals of nutrition & metabolism	0250-6807	1421-9697	KARGER	ANNALS OF NUTRITION AND METABOLISM	3.374	5.923	3.9	3.2	2.9	Q3	Q1	Q2	Q2	Q3
ANTICANCER RES	Anticancer research	0250-7005	1791-7530	INT INST ANTICANCER RESEARCH	ANTICANCER RESEARCH	2.48	2.435	2.0	1.6	1.7	Q4	Q4	Q4	Q4	Q4
ANN INTERN MED	Annals of internal medicine	0003-4819	1539-3704	AMER COLL PHYSICIANS	ANNALS OF INTERNAL MEDICINE	25.391	51.598	39.2	19.6	15.2	Q1	Q1	Q1	Q1	Q1
ANN IST SUPER SANITA	Annali dell'Istituto superiore di sanita	0021-2571	2384-8553	Istituto Superiore Sanita	ANNALI DELL ISTITUTO SUPERIORE DI SANITA	1.663	2.21	2.1	1.1	1.7	Q4	Q3	Q3	Q4	Q3
ANN ITAL CHIR	Annali italiani di chirurgia	0003-469X	2239-253X	EDIZIONI LUIGI POZZI	ANNALI ITALIANI DI CHIRURGIA	0.766	0.73	0.8	0.9	0.5	Q4	Q4	Q4	Q3	Q4
ANN MED PSYCHOL (PARIS)	Annales medico-psychologiques	0003-4487		MASSON EDITEUR	ANNALES MEDICO-PSYCHOLOGIQUES	0.38	0.504	0.6	0.5	0.5	Q4	Q4	Q4	Q4	Q4
ANN N Y ACAD SCI	Annals of the New York Academy of Sciences	0077-8923	1749-6632	WILEY	ANNALS OF THE NEW YORK ACADEMY OF SCIENCES	5.691	6.499	5.2	4.1	4.8	Q1	Q1	Q1	Q1	Q1
ANN OTOL RHINOL LARYNGOL	The Annals of otology, rhinology, and laryngology	0003-4894	1943-572X	SAGE PUBLICATIONS INC	ANNALS OF OTOLOGY RHINOLOGY AND LARYNGOLOGY	1.547	1.973	1.4	1.3	1.2	Q3	Q3	Q4	Q3	Q3
ANN DERMATOL VENEREOL	Annales de dermatologie et de venereologie	0151-9638		MASSON EDITEUR	ANNALES DE DERMATOLOGIE ET DE VENEREOLOGIE	0.777	0.934	0.9	3.1	2.8	Q4	Q4	Q4	Q2	Q2
ANN PHARM FR	Annales pharmaceutiques francaises	0003-4509		MASSON EDITEUR	ANNALES PHARMACEUTIQUES FRANCAISES			1.3	1.0	1.1				Q4	Q4
ANN PLAST SURG	Annals of plastic surgery	0148-7043	1536-3708	LIPPINCOTT WILLIAMS & WILKINS	ANNALS OF PLASTIC SURGERY	1.539	1.763	1.5	1.4	1.6	Q4	Q3	Q3	Q3	Q2
ANN R COLL SURG ENGL	Annals of the Royal College of Surgeons of England	0035-8843	1478-7083	ROYAL COLL SURGEONS ENGLAND	ANNALS OF THE ROYAL COLLEGE OF SURGEONS OF ENGLAND	1.891	1.951	1.4	1.1	1.7	Q3	Q3	Q3	Q3	Q2
ANNU REV NEUROSCI	Annual review of neuroscience	0147-006X	1545-4126	ANNUAL REVIEWS	ANNUAL REVIEW OF NEUROSCIENCE	12.449	15.553	13.9	12.1	13.2	Q1	Q1	Q1	Q1	Q1
ANN RHEUM DIS	Annals of the rheumatic diseases	0003-4967	1468-2060	ELSEVIER	ANNALS OF THE RHEUMATIC DISEASES	19.103	28.003	27.4	20.3	20.6	Q1	Q1	Q1	Q1	Q1
ANN SURG	Annals of surgery	0003-4932	1528-1140	LIPPINCOTT WILLIAMS & WILKINS	ANNALS OF SURGERY	12.969	13.787	9.0	7.5	6.4	Q1	Q1	Q1	Q1	Q1
ANN THORAC SURG	The Annals of thoracic surgery	0003-4975	1552-6259	ELSEVIER SCIENCE INC	ANNALS OF THORACIC SURGERY	4.33	5.113	4.6	3.6	3.9	Q1	Q1	Q1	Q1	Q1
ANN NEUROL	Annals of neurology	0364-5134	1531-8249	WILEY	ANNALS OF NEUROLOGY	10.422	11.274	11.2	8.1	7.7	Q1	Q1	Q1	Q1	Q1
ANNEE PSYCHOL	L'annee psychologique	0003-5033	1955-2580	PRESSES UNIV FRANCE	ANNEE PSYCHOLOGIQUE	0.5	1.469	2.0	0.5	0.6	Q4	Q3	Q3	Q4	Q4
ANNU REV BIOCHEM	Annual review of biochemistry	0066-4154	1545-4509	ANNUAL REVIEWS	ANNUAL REVIEW OF BIOCHEMISTRY	23.643	27.258	16.6	12.1	20.5	Q1	Q1	Q1	Q1	Q1
ANNU REV ENTOMOL	Annual review of entomology	0066-4170	1545-4487	ANNUAL REVIEWS	ANNUAL REVIEW OF ENTOMOLOGY	19.686	22.727	23.8	15.0	16.7	Q1	Q1	Q1	Q1	Q1
ANNU REV GENET	Annual review of genetics	0066-4197	1545-2948	ANNUAL REVIEWS	ANNUAL REVIEW OF GENETICS	16.83	13.826	11.1	8.7	8.6	Q1	Q1	Q1	Q1	Q1
ANNU REV MED	Annual review of medicine	0066-4219	1545-326X	ANNUAL REVIEWS	ANNUAL REVIEW OF MEDICINE	13.739	16.048	10.5	15.1	22.1	Q1	Q1	Q1	Q1	Q1
ANNU REV MICROBIOL	Annual review of microbiology	0066-4227	1545-3251	ANNUAL REVIEWS	ANNUAL REVIEW OF MICROBIOLOGY	15.5	16.232	10.5	8.5	9.9	Q1	Q1	Q1	Q1	Q1
ANNU REV PHARMACOL TOXICOL	Annual review of pharmacology and toxicology	0362-1642	1545-4304	ANNUAL REVIEWS	ANNUAL REVIEW OF PHARMACOLOGY AND TOXICOLOGY	13.82	16.459	12.5	11.2	13.1	Q1	Q1	Q1	Q1	Q1
ANNU REV PHYSIOL	Annual review of physiology	0066-4278	1545-1585	ANNUAL REVIEWS	ANNUAL REVIEW OF PHYSIOLOGY	19.318	22.163	18.2	15.7	19.1	Q1	Q1	Q1	Q1	Q1
ANS ADV NURS SCI	ANS. Advances in nursing science	0161-9268	1550-5014	LIPPINCOTT WILLIAMS & WILKINS	ADVANCES IN NURSING SCIENCE	1.824	2.147	1.6	1.6	2.2	Q3	Q2	Q3	Q2	Q2
ANNU REV PSYCHOL	Annual review of psychology	0066-4308	1545-2085	ANNUAL REVIEWS	ANNUAL REVIEW OF PSYCHOLOGY	24.137	27.782	24.8	23.6	29.4	Q1	Q1	Q1	Q1	Q1
ANTHROPOL ANZ	Anthropologischer Anzeiger; Bericht uber die biologisch-anthropologische Literatur	0003-5548	2363-7099	E SCHWEIZERBARTSCHE VERLAGSBUCHHANDLUNG	ANTHROPOLOGISCHER ANZEIGER	0.877	0.667	0.5	0.4	0.5	Q3	Q4	Q4	Q3	Q3
ANTIMICROB AGENTS CHEMOTHER	Antimicrobial agents and chemotherapy	0066-4804	1098-6596	AMER SOC MICROBIOLOGY	ANTIMICROBIAL AGENTS AND CHEMOTHERAPY	5.191	5.938	4.9	4.1	4.5	Q1	Q1	Q1	Q1	Q1
ANTIVIRAL RES	Antiviral research	0166-3542	1872-9096	ELSEVIER	ANTIVIRAL RESEARCH	5.97	10.103	7.6	4.5	4.0	Q1	Q1	Q1	Q1	Q1
ANTONIE VAN LEEUWENHOEK	Antonie van Leeuwenhoek	0003-6072	1572-9699	SPRINGER	ANTONIE VAN LEEUWENHOEK INTERNATIONAL JOURNAL OF GENERAL AND MOLECULAR MICROBIOLOGY	2.271	2.158	2.6	1.8	1.8	Q4	Q4	Q3	Q4	Q4
AORN J	AORN journal	0001-2092	1878-0369	WILEY	AORN JOURNAL	0.676	0.831	0.9	0.8	1.1	Q4	Q4	Q4	Q4	Q3
APPETITE	Appetite	0195-6663	1095-8304	ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD	APPETITE	3.868	5.016	5.4	4.6	3.8	Q1	Q1	Q1	Q1	Q1
APPL ENVIRON MICROBIOL	Applied and environmental microbiology	0099-2240	1098-5336	AMER SOC MICROBIOLOGY	APPLIED AND ENVIRONMENTAL MICROBIOLOGY	4.792	5.005	4.4	3.9	3.7	Q1	Q2	Q2	Q2	Q2
APPL BIOCHEM BIOTECHNOL	Applied biochemistry and biotechnology	0273-2289	1559-0291	SPRINGER	APPLIED BIOCHEMISTRY AND BIOTECHNOLOGY	2.926	3.094	3.0	3.1	3.3	Q3	Q3	Q3	Q2	Q2
APPL NURS RES	Applied nursing research : ANR	0897-1897	1532-8201	W B SAUNDERS CO-ELSEVIER INC	APPLIED NURSING RESEARCH	2.257	1.847	2.2	2.7	2.2	Q2	Q3	Q2	Q1	Q2
ARCH ARGENT PEDIATR	Archivos argentinos de pediatria	0325-0075	1668-3501	SOC ARGENTINA PEDIATRIA	ARCHIVOS ARGENTINOS DE PEDIATRIA	0.635	0.694	0.8	0.7	0.5	Q4	Q4	Q4	Q4	Q4
ARCH BIOCHEM BIOPHYS	Archives of biochemistry and biophysics	0003-9861	1096-0384	ELSEVIER SCIENCE INC	ARCHIVES OF BIOCHEMISTRY AND BIOPHYSICS	4.013	4.114	3.9	3.8	3.0	Q2	Q2	Q1	Q1	Q2
ARCH DERMATOL RES	Archives of dermatological research	0340-3696	1432-069X	SPRINGER	ARCHIVES OF DERMATOLOGICAL RESEARCH	3.017	3.033	3.0	1.8	2.1	Q2	Q2	Q2	Q3	Q3
ARCH DIS CHILD	Archives of disease in childhood	0003-9888	1468-2044	BMJ PUBLISHING GROUP	ARCHIVES OF DISEASE IN CHILDHOOD	3.801	4.918	5.2	4.3	3.2	Q1	Q1	Q1	Q1	Q1
ARCH ENVIRON CONTAM TOXICOL	Archives of environmental contamination and toxicology	0090-4341	1432-0703	SPRINGER	ARCHIVES OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY	2.804	3.692	4.0	3.7	2.2	Q3	Q2	Q2	Q2	Q3
ARCH PSYCHIATR NURS	Archives of psychiatric nursing	0883-9417	1532-8228	W B SAUNDERS CO-ELSEVIER INC	ARCHIVES OF PSYCHIATRIC NURSING	2.218	2.242	2.3	2.2	2.2	Q2	Q2	Q2	Q1	Q2
ARCH GYNECOL OBSTET	Archives of gynecology and obstetrics	0932-0067	1432-0711	SPRINGER HEIDELBERG	ARCHIVES OF GYNECOLOGY AND OBSTETRICS	2.344	2.493	2.6	2.1	2.5	Q3	Q3	Q3	Q2	Q2
ARCH ESP UROL	Archivos espanoles de urologia	0004-0614	1576-8260		ARCHIVOS ESPANOLES DE UROLOGIA	0.436	0.43	0.5	0.6	0.9	Q4	Q4	Q4	Q4	Q4
ARCH IMMUNOL THER EXP (WARSZ)	Archivum immunologiae et therapiae experimentalis	0004-069X	1661-4917	DE GRUYTER POLAND SP Z O O	ARCHIVUM IMMUNOLOGIAE ET THERAPIAE EXPERIMENTALIS	4.291	3.831	3.2	2.9	3.9	Q2	Q3	Q3	Q3	Q2
ARCH PATHOL LAB MED	Archives of pathology & laboratory medicine	0003-9985	1543-2165	COLL AMER PATHOLOGISTS	ARCHIVES OF PATHOLOGY & LABORATORY MEDICINE	5.534	5.686	4.6	3.7	3.2	Q1	Q1	Q1	Q1	Q2
ARCH GERONTOL GERIATR	Archives of gerontology and geriatrics	0167-4943	1872-6976	ELSEVIER IRELAND LTD	ARCHIVES OF GERONTOLOGY AND GERIATRICS	3.25	4.163	4.0	3.5	3.8	Q3	Q2	Q2	Q2	Q2
ARCH ITAL BIOL	Archives italiennes de biologie	0003-9829			ARCHIVES ITALIENNES DE BIOLOGIE	1.0	1.619	1.0	0.8		Q4	Q4	Q4	Q4	
ARCH LATINOAM NUTR	Archivos latinoamericanos de nutricion	0004-0622	2309-5806	ARCHIVOS LATINOAMERICANOS NUTRICION	ARCHIVOS LATINOAMERICANOS DE NUTRICION		0.545	0.3	0.5	0.3		Q4	Q4	Q4	Q4
ARCH MICROBIOL	Archives of microbiology	0302-8933	1432-072X	SPRINGER HEIDELBERG	ARCHIVES OF MICROBIOLOGY	2.552	2.667	2.8	2.3	2.6	Q3	Q4	Q3	Q3	Q3
ARCH ORAL BIOL	Archives of oral biology	0003-9969	1879-1506	PERGAMON-ELSEVIER SCIENCE LTD	ARCHIVES OF ORAL BIOLOGY	2.635	2.64	3.0	2.2	2.1	Q2	Q3	Q2	Q2	Q2
ARCH PHARM (WEINHEIM)	Archiv der Pharmazie	0365-6233	1521-4184	WILEY-V C H VERLAG GMBH	ARCHIV DER PHARMAZIE	3.751	4.613	5.1	4.3	3.6	Q2	Q2	Q1	Q1	Q2
ARCH PHYS MED REHABIL	Archives of physical medicine and rehabilitation	0003-9993	1532-821X	W B SAUNDERS CO-ELSEVIER INC	ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION	3.966	4.06	4.3	3.6	3.7	Q1	Q1	Q1	Q1	Q1
ARCH SEX BEHAV	Archives of sexual behavior	0004-0002	1573-2800	SPRINGER/PLENUM PUBLISHERS	ARCHIVES OF SEXUAL BEHAVIOR	4.507	4.891	3.8	2.9	2.9	Q1	Q1	Q1	Q1	Q1
ARCH TOXICOL	Archives of toxicology	0340-5761	1432-0738	SPRINGER HEIDELBERG	ARCHIVES OF TOXICOLOGY	5.153	6.168	6.1	4.8	6.9	Q1	Q1	Q1	Q1	Q1
ARCH VIROL	Archives of virology	0304-8608	1432-8798	SPRINGER WIEN	ARCHIVES OF VIROLOGY	2.574	2.685	2.7	2.5	2.5	Q3	Q3	Q3	Q3	Q3
ARH HIG RADA TOKSIKOL	Arhiv za higijenu rada i toksikologiju	0004-1254	1848-6312	SCIENDO	ARHIV ZA HIGIJENU RADA I TOKSIKOLOGIJU-ARCHIVES OF INDUSTRIAL HYGIENE AND TOXICOLOGY	1.948	2.078	2.1	1.7	1.6	Q3	Q4	Q3	Q3	Q3
ARQ BRAS CARDIOL	Arquivos brasileiros de cardiologia	0066-782X	1678-4170	ARQUIVOS BRASILEIROS CARDIOLOGIA	ARQUIVOS BRASILEIROS DE CARDIOLOGIA	2.0	2.667	2.6	2.0	1.9	Q4	Q3	Q3	Q3	Q3
ARQ BRAS OFTALMOL	Arquivos brasileiros de oftalmologia	0004-2749	1678-2925	CONSEL BRASIL OFTALMOLOGIA	ARQUIVOS BRASILEIROS DE OFTALMOLOGIA	0.872	1.033	1.0	1.1	1.2	Q4	Q4	Q4	Q3	Q3
ARQ NEUROPSIQUIATR	Arquivos de neuro-psiquiatria	0004-282X	1678-4227	ASSOC ARQUIVOS NEURO- PSIQUIATRIA	ARQUIVOS DE NEURO-PSIQUIATRIA	1.42	2.035	1.4	1.0	1.6	Q4	Q4	Q4	Q4	Q3
ARTIF ORGANS	Artificial organs	0160-564X	1525-1594	WILEY	ARTIFICIAL ORGANS	3.094	2.663	2.4	2.2	2.3	Q3	Q3	Q3	Q3	Q2
ATHEROSCLEROSIS	Atherosclerosis	0021-9150	1879-1484	ELSEVIER IRELAND LTD	ATHEROSCLEROSIS	5.162	6.851	5.3	4.9	5.7	Q1	Q1	Q2	Q1	Q1
AUST DENT J	Australian dental journal	0045-0421	1834-7819	WILEY	AUSTRALIAN DENTAL JOURNAL	2.291	2.259	2.1	1.9	2.4	Q3	Q3	Q3	Q2	Q2
AURIS NASUS LARYNX	Auris, nasus, larynx	0385-8146	1879-1476	ELSEVIER SCI LTD	AURIS NASUS LARYNX	1.863	2.119	1.7	1.6	1.5	Q3	Q3	Q3	Q2	Q2
AUST HEALTH REV	Australian health review : a publication of the Australian Hospital Association	0156-5788	1449-8944	CSIRO PUBLISHING	AUSTRALIAN HEALTH REVIEW	1.99	1.837	1.8	1.4	1.4	Q3	Q4	Q4	Q3	Q4
AUSTRALAS PHYS ENG SCI MED	Australasian physical & engineering sciences in medicine	0158-9938	1879-5447		AUSTRALASIAN PHYSICAL & ENGINEERING SCIENCES IN MEDICINE	1.43	1.91				Q4	Q4			
AUST N Z J OBSTET GYNAECOL	The Australian & New Zealand journal of obstetrics & gynaecology	0004-8666	1479-828X	WILEY	AUSTRALIAN & NEW ZEALAND JOURNAL OF OBSTETRICS & GYNAECOLOGY	2.1	1.884	1.7	1.4	1.7	Q3	Q4	Q4	Q3	Q3
AUST N Z J PSYCHIATRY	The Australian and New Zealand journal of psychiatry	0004-8674	1440-1614	SAGE PUBLICATIONS LTD	AUSTRALIAN AND NEW ZEALAND JOURNAL OF PSYCHIATRY	5.744	5.598	4.6	4.0	3.7	Q1	Q2	Q2	Q1	Q1
AUST VET J	Australian veterinary journal	0005-0423	1751-0813	WILEY	AUSTRALIAN VETERINARY JOURNAL	1.281	1.343	1.1	1.3	1.7	Q3	Q3	Q3	Q2	Q2
AUSTRALAS J DERMATOL	The Australasian journal of dermatology	0004-8380	1440-0960	WILEY	AUSTRALASIAN JOURNAL OF DERMATOLOGY	2.875	2.481	2.0	2.2	1.8	Q3	Q3	Q3	Q2	Q3
AVIAN DIS	Avian diseases	0005-2086	1938-4351	AMER ASSOC AVIAN PATHOLOGISTS	AVIAN DISEASES	1.577	1.602	1.4	1.3	1.3	Q2	Q3	Q2	Q2	Q2
BASIC RES CARDIOL	Basic research in cardiology	0300-8428	1435-1803	SPRINGER HEIDELBERG	BASIC RESEARCH IN CARDIOLOGY	17.165	12.416	9.5	7.5	8.0	Q1	Q1	Q1	Q1	Q1
BEHAV GENET	Behavior genetics	0001-8244	1573-3297	SPRINGER	BEHAVIOR GENETICS	2.805	2.965	2.6	2.6	2.2	Q2	Q2	Q2	Q2	Q2
BEHAV RES THER	Behaviour research and therapy	0005-7967	1873-622X	PERGAMON-ELSEVIER SCIENCE LTD	BEHAVIOUR RESEARCH AND THERAPY	4.473	5.321	4.1	4.2	4.5	Q1	Q1	Q1	Q1	Q1
BEHAVIOUR	Behaviour	0005-7959	1568-539X	BRILL	BEHAVIOUR	1.991	1.672	1.3	1.2	1.0	Q2	Q2	Q2	Q2	Q3
BEHAV MODIF	Behavior modification	0145-4455	1552-4167	SAGE PUBLICATIONS INC	BEHAVIOR MODIFICATION	3.368	2.692	2.3	2.0	2.4	Q2	Q3	Q3	Q3	Q2
BERL MUNCH TIERARZTL WOCHENSCHR	Berliner und Munchener tierarztliche Wochenschrift	0005-9366	1439-0299	SCHLUETERSCHE VERLAGSGESELLSCHAFT MBH & CO KG	BERLINER UND MUNCHENER TIERARZTLICHE WOCHENSCHRIFT	0.328	0.587	0.4	0.5	0.6	Q4	Q4	Q4	Q4	Q3
BIOCHEM BIOPHYS RES COMMUN	Biochemical and biophysical research communications	0006-291X	1090-2104	ACADEMIC PRESS INC ELSEVIER SCIENCE	BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS	3.575	3.322	3.1	2.5	2.2	Q2	Q3	Q2	Q3	Q3
BIOCHEM GENET	Biochemical genetics	0006-2928	1573-4927	SPRINGER/PLENUM PUBLISHERS	BIOCHEMICAL GENETICS	1.89	2.22	2.4	2.1	1.6	Q4	Q4	Q3	Q3	Q3
BIOCHEM J	The Biochemical journal	0264-6021	1470-8728	PORTLAND PRESS LTD	BIOCHEMICAL JOURNAL	3.857	3.766	4.1	4.4	4.3	Q3	Q3	Q2	Q2	Q2
BIOESSAYS	BioEssays : news and reviews in molecular, cellular and developmental biology	0265-9247	1521-1878	WILEY	BIOESSAYS	4.345	4.653	4.0	3.2	2.7	Q1	Q1	Q2	Q1	Q2
BIOCHEM PHARMACOL	Biochemical pharmacology	0006-2952	1873-2968	PERGAMON-ELSEVIER SCIENCE LTD	BIOCHEMICAL PHARMACOLOGY	5.858	6.1	5.8	5.3	5.6	Q1	Q1	Q1	Q1	Q1
BIOELECTROMAGNETICS	Bioelectromagnetics	0197-8462	1521-186X	WILEY	BIOELECTROMAGNETICS	2.01	1.848	1.9	1.8	1.2	Q3	Q3	Q3	Q3	Q3
BIOL MASS SPECTROM	Biological mass spectrometry	1052-9306	1096-9888	WILEY	JOURNAL OF MASS SPECTROMETRY	1.982	2.394	2.3	1.9	2.0	Q3	Q2	Q2	Q2	Q2
EUR ARCH PSYCHIATRY CLIN NEUROSCI	European archives of psychiatry and clinical neuroscience	0940-1334	1433-8491	SPRINGER HEIDELBERG	EUROPEAN ARCHIVES OF PSYCHIATRY AND CLINICAL NEUROSCIENCE	5.276	5.76	4.7	3.5	3.7	Q1	Q1	Q1	Q1	Q1
J PSYCHIATRY NEUROSCI	Journal of psychiatry & neuroscience : JPN	1180-4882	1488-2434	CMA-CANADIAN MEDICAL ASSOC	JOURNAL OF PSYCHIATRY & NEUROSCIENCE	6.186	5.699	4.3	4.1	3.3	Q1	Q1	Q2	Q1	Q2
BIOCHEMISTRY	Biochemistry	0006-2960	1520-4995	AMER CHEMICAL SOC	BIOCHEMISTRY	3.163	3.321	2.9	2.9	3.0	Q3	Q3	Q3	Q3	Q3
J ADOLESC HEALTH	The Journal of adolescent health : official publication of the Society for Adolescent Medicine	1054-139X	1879-1972	ELSEVIER SCIENCE INC	JOURNAL OF ADOLESCENT HEALTH	4.828	7.898	7.6	5.5	4.5	Q1	Q1	Q1	Q1	Q1
J HEART LUNG TRANSPLANT	The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation	1053-2498	1557-3117	ELSEVIER SCIENCE INC	JOURNAL OF HEART AND LUNG TRANSPLANTATION	10.247	13.569	8.9	6.4	6.0	Q1	Q1	Q1	Q1	Q1
CLEFT PALATE CRANIOFAC J	The Cleft palate-craniofacial journal : official publication of the American Cleft Palate-Craniofacial Association	1055-6656	1545-1569	SAGE PUBLICATIONS INC	CLEFT PALATE-CRANIOFACIAL JOURNAL	1.433	1.915				Q4	Q3			
J ADDICT DIS	Journal of addictive diseases	1055-0887	1545-0848	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	JOURNAL OF ADDICTIVE DISEASES	1.594	2.065	2.3	1.6	1.1	Q4	Q4	Q3	Q3	Q4
